FVC_POS,LVC,LV_POS,nominal_POS,punctive/durative,count/mass syntax,source,identical nominal?,related nominal?,passive?,comments
rest_VERB,take a rest,take_VERB,rest_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,
risk_VERB,take a risk,take_VERB,risk_SUBST,durative,count,Gilquin (2019),TRUE,TRUE,FALSE,
shower_VERB,take a shower,take_VERB,shower_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,
sip_VERB,take a sip,take_VERB,sip_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
sneak_VERB,take a sneak,take_VERB,sneak_SUBST,durative,count,Butt (2010),TRUE,TRUE,FALSE,
sniff_VERB,take a sniff,take_VERB,sniff_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
spill_VERB,take a spill,take_VERB,spill_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
stab_VERB,take a stab,take_VERB,stab_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
step_VERB,take a step,take_VERB,step_SUBST,punctive,count,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
swipe_VERB,take a swipe,take_VERB,swipe_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,take a swipe at
